,totalIncome,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,genderR,ownsCarR,ownsRealtyR,eduLvlR,incomeTypeR,housingTypeR,famStatusR
2279,135000.0,2.0,49.0,4.687296795964325,1,0,0,1,1,1,0,1,1
2284,135000.0,2.0,49.0,4.687296795964325,1,1,0,1,1,1,0,1,1
2479,157500.0,2.0,44.0,2.4339993292127837,1,0,1,0,1,1,0,1,1
2527,112500.0,2.0,62.0,0.0,0,0,0,0,1,1,2,1,1
2600,112500.0,2.0,62.0,0.0,0,1,0,0,1,1,2,1,1
2689,112500.0,2.0,58.0,6.518956583639636,1,1,1,1,1,1,3,1,1
2810,270000.0,1.0,46.0,3.269060966344278,1,0,0,1,1,1,0,1,3
2839,270000.0,1.0,46.0,3.269060966344278,1,1,0,1,1,1,0,1,3
2923,270000.0,2.0,30.0,2.266987001786484,1,1,0,1,1,0,0,1,1
2931,157500.0,2.0,28.0,2.266987001786484,1,1,1,1,1,1,0,1,1
2954,166500.0,2.0,52.0,17.183104375859873,1,0,1,0,1,1,0,1,1
3022,166500.0,2.0,52.0,17.183104375859873,1,1,1,0,1,1,0,1,1
3035,216000.0,4.0,43.0,8.520366605748235,1,1,0,0,1,0,3,1,1
3073,216000.0,4.0,43.0,8.520366605748235,1,0,0,0,1,0,3,1,1
3250,270000.0,2.0,55.0,29.687125676776382,1,0,0,1,1,1,1,1,1
3301,225000.0,2.0,40.0,7.603167758407086,1,0,0,1,1,1,1,1,1
3312,225000.0,2.0,40.0,7.603167758407086,1,1,0,1,1,1,1,1,1
3328,315000.0,1.0,29.0,3.269060966344278,1,1,0,0,1,1,0,1,2
3356,255150.0,2.0,52.0,0.0,0,1,0,0,0,2,2,0,0
3373,255150.0,2.0,52.0,0.0,0,0,0,0,0,2,2,0,0
3449,157500.0,3.0,40.0,1.5195383888786218,1,1,0,0,1,1,0,1,2
3462,148500.0,2.0,49.0,2.4339993292127837,1,1,0,0,1,0,0,1,1
3483,148500.0,2.0,49.0,2.4339993292127837,1,0,0,0,1,0,0,1,1
3552,202500.0,4.0,31.0,6.2670691389966935,1,1,0,0,1,0,0,1,1
3566,202500.0,4.0,31.0,6.2670691389966935,1,0,0,0,1,0,0,1,1
3685,202500.0,1.0,25.0,2.4339993292127837,1,0,1,0,1,1,0,1,2
3705,112500.0,1.0,21.0,2.1821118845698404,1,1,0,1,1,1,1,1,2
3706,94500.0,2.0,62.0,0.0,0,0,0,0,1,0,2,1,1
3710,315000.0,2.0,29.0,5.68663285351513,1,1,1,1,1,1,0,1,0
3792,315000.0,2.0,29.0,5.68663285351513,1,0,1,1,1,1,0,1,0
3910,270000.0,2.0,29.0,8.687378933174534,1,1,0,1,1,2,1,2,0
3955,450000.0,3.0,49.0,1.9384381609478636,1,0,0,1,1,0,3,1,1
4002,180000.0,3.0,39.0,3.520948410987221,1,1,1,0,1,1,0,3,1
4033,112500.0,2.0,28.0,8.687378933174534,1,1,0,0,1,0,0,1,0
4077,112500.0,2.0,28.0,8.687378933174534,1,0,0,0,1,0,0,1,0
4110,90000.0,2.0,57.0,15.688207150044148,1,1,1,0,1,1,0,1,1
4158,90000.0,2.0,57.0,15.688207150044148,1,0,1,0,1,1,0,1,1
4161,202500.0,4.0,41.0,8.18360404388865,1,0,1,1,0,0,1,1,1
4242,247500.0,2.0,35.0,11.020075703128745,1,0,1,1,1,1,0,1,1
4256,765000.0,3.0,34.0,3.269060966344278,1,0,1,1,1,0,0,1,1
4268,270000.0,3.0,38.0,12.022149667686536,1,1,0,0,1,1,1,1,1
4293,270000.0,3.0,38.0,12.022149667686536,1,0,0,0,1,1,1,1,1
4326,315000.0,1.0,37.0,1.5195383888786218,1,1,0,0,1,0,0,1,3
4383,157500.0,4.0,36.0,11.104950820345389,1,1,1,1,1,1,0,3,1
4568,360000.0,2.0,42.0,7.52103054819743,1,0,1,0,1,1,1,1,1
4576,360000.0,2.0,42.0,7.52103054819743,1,1,1,0,1,1,1,1,1
4597,112500.0,2.0,25.0,0.8542269861804144,1,0,0,0,1,0,1,1,1
4601,157500.0,1.0,44.0,1.1827758270190354,1,1,0,0,0,0,1,3,3
4904,382500.0,1.0,60.0,0.0,0,1,1,0,1,1,2,1,4
4938,382500.0,1.0,60.0,0.0,0,0,1,0,1,1,2,1,4
5010,135000.0,2.0,27.0,4.271134930902072,1,1,0,0,0,1,0,1,0
5044,135000.0,2.0,27.0,4.271134930902072,1,0,0,0,0,1,0,1,0
5056,225000.0,2.0,51.0,0.0,0,0,1,1,0,1,2,1,0
5079,315000.0,2.0,44.0,10.185014065997247,1,1,1,1,0,0,0,1,1
5154,315000.0,2.0,44.0,10.185014065997247,1,0,1,1,0,0,0,1,1
5180,180000.0,2.0,54.0,7.942668227273661,1,1,0,0,0,1,0,1,1
5582,157500.0,2.0,36.0,8.690116840181522,1,0,0,0,0,1,0,1,1
5663,144000.0,2.0,63.0,0.0,0,0,0,1,0,1,2,1,1
5677,229500.0,2.0,51.0,3.438811200777565,1,0,1,1,0,2,0,4,1
5762,229500.0,2.0,51.0,3.438811200777565,1,1,1,1,0,2,0,4,1
5894,270000.0,2.0,49.0,15.857957384477436,1,0,0,0,0,0,0,1,1
5938,270000.0,2.0,49.0,15.857957384477436,1,1,0,0,0,0,0,1,1
6042,292500.0,2.0,58.0,23.7759844486882,1,0,0,0,0,1,3,1,1
6057,292500.0,2.0,58.0,23.7759844486882,1,1,0,0,0,1,3,1,1
6278,270000.0,2.0,34.0,2.3546000260101163,1,1,0,0,0,0,0,1,1
6359,270000.0,2.0,34.0,2.3546000260101163,1,0,0,0,0,0,0,1,1
6373,225000.0,2.0,41.0,2.184849791576829,1,1,0,1,0,1,0,1,1
6401,225000.0,2.0,41.0,2.184849791576829,1,0,0,1,0,1,0,1,1
6767,157500.0,2.0,30.0,2.6886246808627146,1,1,1,1,0,2,0,3,1
6848,74250.0,1.0,53.0,14.354846437640743,1,1,0,0,0,0,0,2,3
6883,74250.0,1.0,53.0,14.354846437640743,1,0,0,0,0,0,0,2,3
6900,135000.0,2.0,39.0,5.8563830879484176,1,1,0,0,0,1,1,1,1
6969,135000.0,3.0,28.0,2.5216123534364154,1,1,1,1,0,1,0,1,1
7069,144000.0,1.0,44.0,24.60557027180572,1,0,0,0,0,1,0,1,2
7092,202500.0,2.0,40.0,3.5236863179942093,1,1,0,0,0,0,3,3,1
7143,202500.0,2.0,40.0,3.5236863179942093,1,0,0,0,0,0,3,3,1
7160,40500.0,1.0,58.0,0.0,0,0,0,0,0,1,2,1,2
7172,337500.0,2.0,29.0,4.523022375545015,1,1,1,1,0,0,3,3,1
7208,337500.0,2.0,29.0,4.523022375545015,1,0,1,1,0,0,3,3,1
7304,180000.0,2.0,41.0,6.688706818072924,1,0,1,0,0,1,1,2,1
7430,180000.0,2.0,41.0,6.688706818072924,1,1,1,0,0,1,1,2,1
7503,130500.0,2.0,42.0,13.185760145656651,1,1,0,0,0,1,0,1,0
7524,130500.0,2.0,42.0,13.185760145656651,1,0,0,0,0,1,0,1,0
7924,144000.0,2.0,58.0,0.0,0,1,0,0,0,1,2,1,1
7958,144000.0,2.0,58.0,0.0,0,0,0,0,0,1,2,1,1
7960,193500.0,1.0,45.0,5.108934475040555,1,0,0,0,0,1,0,2,2
8039,112500.0,1.0,61.0,0.0,0,1,0,0,0,1,2,1,4
8065,112500.0,1.0,61.0,0.0,0,0,0,0,0,1,2,1,4
8149,135000.0,2.0,56.0,0.0,0,0,0,1,0,1,2,1,1
8205,135000.0,2.0,56.0,0.0,0,1,0,1,0,1,2,1,1
8499,267750.0,2.0,58.0,12.942086422034675,1,1,1,1,0,0,0,1,1
8534,267750.0,2.0,58.0,12.942086422034675,1,0,1,1,0,0,0,1,1
8628,139500.0,1.0,45.0,19.43913974961841,1,1,0,0,0,0,0,1,3
8638,139500.0,1.0,45.0,19.43913974961841,1,0,0,0,0,0,0,1,3
8672,67500.0,2.0,52.0,14.521858765067044,1,0,1,0,0,1,0,1,1
8698,252000.0,2.0,30.0,6.688706818072924,1,0,1,1,0,1,0,1,1
8876,180000.0,2.0,58.0,0.355927910908506,1,1,1,0,0,3,1,1,1
8913,135000.0,2.0,54.0,14.4369836478504,1,0,0,0,0,1,1,1,1
8939,135000.0,2.0,54.0,14.4369836478504,1,1,0,0,0,1,1,1,1
8965,900000.0,1.0,53.0,20.27146347974291,1,0,0,1,0,0,0,1,2
8990,180000.0,2.0,41.0,1.6044135060952651,1,1,1,1,0,0,1,1,0
9011,180000.0,2.0,41.0,1.6044135060952651,1,0,1,1,0,0,1,1,0
9173,115290.0,2.0,64.0,0.0,0,1,1,1,0,1,2,1,1
9187,115290.0,2.0,64.0,0.0,0,0,1,1,0,1,2,1,1
9241,225000.0,4.0,31.0,4.774909820187958,1,1,0,0,0,0,0,1,1
9281,135000.0,3.0,26.0,3.2717988733512664,1,0,1,1,0,1,0,1,1
9310,450000.0,2.0,41.0,15.272045284981896,1,0,0,0,0,0,3,1,1
9375,450000.0,2.0,41.0,15.272045284981896,1,1,0,0,0,0,3,1,1
9389,279000.0,1.0,31.0,8.690116840181522,1,0,1,0,0,0,3,1,2
9477,279000.0,1.0,31.0,8.690116840181522,1,1,1,0,0,0,3,1,2
9527,76500.0,3.0,35.0,1.3552639684593113,1,1,0,0,0,0,0,1,0
9843,202500.0,2.0,57.0,0.6899525657611039,1,0,1,0,0,1,1,1,1
9851,202500.0,2.0,57.0,0.6899525657611039,1,1,1,0,0,1,1,1,1
9896,67500.0,4.0,29.0,1.1855137340260238,1,0,0,0,0,0,1,1,1
9904,234000.0,2.0,39.0,6.269807046003683,1,1,1,0,0,2,0,1,1
10063,90000.0,1.0,53.0,1.2703888512426675,1,0,0,0,0,1,0,1,2
10071,90000.0,1.0,53.0,1.2703888512426675,1,1,0,0,0,1,0,1,2
10116,81000.0,2.0,54.0,2.7734997980793583,1,0,0,0,0,1,0,1,0
10126,108000.0,1.0,23.0,3.6058235282038646,1,1,1,0,0,1,0,4,2
10153,108000.0,1.0,23.0,3.6058235282038646,1,0,1,0,0,1,0,4,2
10172,99000.0,2.0,55.0,0.0,0,0,1,0,0,1,2,1,1
10185,198000.0,1.0,24.0,3.186923756134622,1,0,1,0,0,1,0,3,2
10203,360000.0,2.0,41.0,3.2717988733512664,1,1,1,1,0,0,3,2,1
10217,135000.0,2.0,55.0,0.0,0,1,0,0,0,1,2,1,1
10251,76500.0,2.0,65.0,0.0,0,1,0,0,0,1,2,1,1
10255,76500.0,2.0,65.0,0.0,0,0,0,0,0,1,2,1,1
10275,90000.0,2.0,26.0,4.60515958575467,1,0,0,0,0,1,3,1,1
10305,270000.0,2.0,38.0,2.023313278164507,1,0,0,1,0,2,1,1,0
10322,81000.0,2.0,40.0,9.270553125663088,1,0,1,1,0,1,0,3,1
10330,81000.0,2.0,40.0,9.270553125663088,1,1,1,1,0,1,0,3,1
10343,202500.0,2.0,48.0,3.690698645420509,1,1,0,0,0,0,3,1,1
10412,202500.0,2.0,48.0,3.690698645420509,1,0,0,0,0,0,3,1,1
10595,157500.0,2.0,54.0,27.02314215897657,1,0,0,0,0,1,0,1,1
10614,157500.0,2.0,54.0,27.02314215897657,1,1,0,0,0,1,0,1,1
10829,180000.0,2.0,37.0,12.186424088105849,1,0,0,0,0,0,1,1,1
768457,180000.0,2.0,37.0,12.186424088105849,1,1,0,0,0,0,1,1,1
10858,135000.0,2.0,34.0,2.184849791576829,1,1,0,0,0,1,0,2,1
10887,135000.0,4.0,27.0,7.857793110057017,1,1,0,0,0,1,0,1,1
11057,135000.0,2.0,45.0,17.02430576945454,1,0,1,1,0,1,1,1,1
11097,135000.0,2.0,45.0,17.02430576945454,1,1,1,1,0,1,1,1,1
11137,270000.0,2.0,33.0,3.186923756134622,1,1,1,1,0,1,1,1,1
11184,270000.0,2.0,33.0,3.186923756134622,1,0,1,1,0,1,1,1,1
11391,202500.0,2.0,45.0,13.52252270751624,1,0,0,0,0,0,0,1,1
11403,202500.0,2.0,45.0,13.52252270751624,1,1,0,0,0,0,0,1,1
11462,157500.0,2.0,47.0,7.356756127778119,1,1,0,0,0,2,0,1,1
11485,157500.0,2.0,47.0,7.356756127778119,1,0,0,0,0,2,0,1,1
11597,180000.0,4.0,35.0,5.941258205165061,1,0,1,1,0,2,0,1,1
11601,180000.0,4.0,35.0,5.941258205165061,1,1,1,1,0,2,0,1,1
11635,112500.0,2.0,33.0,3.107524452931956,1,0,1,1,0,1,0,4,3
11667,157500.0,2.0,38.0,2.6886246808627146,1,1,0,1,0,1,1,1,1
11684,157500.0,2.0,38.0,2.6886246808627146,1,0,0,1,0,1,1,1,1
11839,216000.0,2.0,43.0,2.436737236219772,1,1,1,1,0,1,0,1,1
11855,202500.0,2.0,43.0,4.774909820187958,1,1,0,1,0,1,1,1,1
11946,198000.0,2.0,52.0,26.68911750412397,1,1,0,0,0,1,1,1,0
11982,198000.0,2.0,52.0,26.68911750412397,1,0,0,0,0,1,1,1,0
12376,157500.0,1.0,56.0,0.0,0,1,0,0,0,1,2,1,4
12388,157500.0,1.0,56.0,0.0,0,0,0,0,0,1,2,1,4
12411,180000.0,2.0,42.0,8.605241722964879,1,1,1,1,0,1,0,1,1
12461,180000.0,2.0,42.0,8.605241722964879,1,0,1,1,0,1,0,1,1
12691,315000.0,2.0,47.0,2.184849791576829,1,1,0,1,0,1,0,1,1
12715,315000.0,2.0,47.0,2.184849791576829,1,0,0,1,0,1,0,1,1
12725,112500.0,2.0,59.0,0.0,0,1,0,0,0,1,2,1,1
12749,112500.0,2.0,59.0,0.0,0,0,0,0,0,1,2,1,1
12816,90000.0,1.0,32.0,1.856300950738208,1,1,0,0,0,1,0,1,3
12885,45000.0,1.0,40.0,2.184849791576829,1,0,0,0,0,1,0,1,3
12928,225000.0,2.0,24.0,5.024059357823911,1,0,0,1,0,1,0,1,1
12944,112500.0,1.0,65.0,0.0,0,1,0,0,0,1,2,0,2
12956,144000.0,2.0,48.0,2.436737236219772,1,0,0,1,0,1,0,1,1
13009,144000.0,2.0,48.0,2.436737236219772,1,1,0,1,0,1,0,1,1
13114,315000.0,2.0,37.0,7.523768455204419,1,1,0,1,0,0,1,1,1
13157,112500.0,3.0,36.0,10.185014065997247,1,0,0,0,0,1,0,1,1
13207,144000.0,4.0,34.0,2.6886246808627146,1,0,0,0,0,1,0,1,1
13231,144000.0,4.0,34.0,2.6886246808627146,1,1,0,0,0,1,0,1,1
13394,225000.0,2.0,48.0,0.0,0,1,1,1,0,1,2,1,1
13421,135000.0,2.0,53.0,0.2710527936918622,1,1,1,1,0,1,0,1,1
13505,135000.0,2.0,53.0,0.2710527936918622,1,0,1,1,0,1,0,1,1
13553,238500.0,2.0,53.0,9.02414149503412,1,1,0,0,0,1,0,1,1
13592,238500.0,2.0,53.0,9.02414149503412,1,0,0,0,0,1,0,1,1
13733,112500.0,2.0,28.0,5.604495643305475,1,1,0,0,0,1,0,1,1
13774,144000.0,3.0,28.0,0.7748276829777476,1,0,1,1,0,2,0,1,1
13808,90000.0,2.0,59.0,0.0,0,1,0,0,0,1,2,1,1
13870,90000.0,2.0,59.0,0.0,0,0,0,0,0,1,2,1,1
13923,202500.0,1.0,24.0,2.5216123534364154,1,1,1,0,0,1,1,3,2
13925,202500.0,1.0,24.0,2.5216123534364154,1,0,1,0,0,1,1,3,2
13951,117000.0,1.0,41.0,10.023477552584929,1,1,1,0,0,1,0,1,2
14020,135000.0,2.0,52.0,29.94175102842632,1,1,0,0,0,1,3,1,1
14081,135000.0,2.0,52.0,29.94175102842632,1,0,0,0,0,1,3,1,1
14254,225000.0,1.0,28.0,4.857047030397612,1,1,1,0,0,0,0,1,2
14376,126000.0,1.0,53.0,0.0,0,1,0,0,0,1,2,1,3
14461,126000.0,1.0,53.0,0.0,0,0,0,0,0,1,2,1,3
14475,135000.0,2.0,44.0,1.1855137340260238,1,0,0,0,0,1,1,1,0
14491,90000.0,1.0,60.0,0.0,0,1,0,0,0,1,2,1,4
14924,153000.0,1.0,64.0,0.0,0,1,0,0,0,1,2,1,3
14965,153000.0,1.0,64.0,0.0,0,0,0,0,0,1,2,1,3
15027,1350000.0,2.0,36.0,4.271134930902072,1,0,1,1,0,0,1,2,1
15129,139500.0,2.0,58.0,0.0,0,0,0,0,0,1,2,1,1
15137,139500.0,2.0,58.0,0.0,0,1,0,0,0,1,2,1,1
15185,157500.0,2.0,32.0,0.9418400104040466,1,0,0,0,0,0,0,1,1
15206,157500.0,2.0,32.0,0.9418400104040466,1,1,0,0,0,0,0,1,1
15218,135000.0,2.0,31.0,1.1855137340260238,1,0,0,1,0,1,0,3,0
15223,135000.0,2.0,31.0,1.1855137340260238,1,1,0,1,0,1,0,3,0
15232,180000.0,1.0,26.0,4.690034702971314,1,0,1,0,0,1,0,1,2
15284,180000.0,1.0,26.0,4.690034702971314,1,1,1,0,0,1,0,1,2
15370,225000.0,1.0,53.0,12.186424088105849,1,0,0,0,0,1,0,1,2
15394,225000.0,1.0,53.0,12.186424088105849,1,1,0,0,0,1,0,1,2
15454,135000.0,2.0,28.0,6.773581935289568,1,1,0,0,0,0,0,1,1
15496,135000.0,2.0,28.0,6.773581935289568,1,0,0,0,0,0,0,1,1
15573,292500.0,2.0,37.0,3.6058235282038646,1,1,1,1,0,1,0,1,1
15578,292500.0,2.0,37.0,3.6058235282038646,1,0,1,1,0,1,0,1,1
15589,270000.0,2.0,53.0,20.025051849113943,1,1,0,1,0,0,1,1,1
15739,99000.0,2.0,41.0,12.024887574693524,1,0,0,1,0,1,0,1,1
15756,99000.0,2.0,41.0,12.024887574693524,1,1,0,1,0,1,0,1,1
15816,135000.0,2.0,34.0,6.773581935289568,1,0,0,0,0,1,0,1,1
768504,315000.0,2.0,38.0,1.6044135060952651,1,0,0,1,0,0,1,1,1
15852,315000.0,2.0,38.0,1.6044135060952651,1,1,0,1,0,0,1,1,1
768570,315000.0,2.0,38.0,1.6044135060952651,1,0,0,1,0,0,2,1,1
16066,270000.0,1.0,25.0,4.60515958575467,1,1,1,1,0,0,0,1,2
16121,270000.0,1.0,25.0,4.60515958575467,1,0,1,1,0,0,0,1,2
16169,135000.0,1.0,39.0,8.690116840181522,1,0,1,0,0,1,0,1,3
16186,135000.0,1.0,39.0,8.690116840181522,1,1,1,0,0,1,0,1,3
16371,445500.0,4.0,41.0,18.688953229703557,1,1,1,1,0,0,3,2,1
16429,198000.0,1.0,61.0,0.0,0,0,0,0,0,1,2,1,4
16436,198000.0,1.0,61.0,0.0,0,1,0,0,0,1,2,1,4
16572,382500.0,2.0,43.0,10.855801282709432,1,1,0,1,0,0,0,1,1
16642,382500.0,2.0,43.0,10.855801282709432,1,0,0,1,0,0,0,1,1
16717,202500.0,3.0,33.0,8.942004284824465,1,0,0,0,0,1,0,1,1
16748,202500.0,3.0,33.0,8.942004284824465,1,1,0,0,0,1,0,1,1
17071,99000.0,2.0,41.0,14.940758537136286,1,1,0,1,0,1,0,1,1
17080,99000.0,2.0,41.0,14.940758537136286,1,0,0,1,0,1,0,1,1
17176,112500.0,2.0,44.0,1.023977220613702,1,0,0,0,0,1,0,1,1
17202,112500.0,2.0,44.0,1.023977220613702,1,1,0,0,0,1,0,1,1
17305,166500.0,2.0,29.0,4.690034702971314,1,1,1,1,0,0,0,3,1
17371,166500.0,2.0,29.0,4.690034702971314,1,0,1,1,0,0,0,3,1
17435,135000.0,2.0,36.0,15.272045284981896,1,1,0,0,0,1,3,1,0
17459,202500.0,2.0,35.0,1.1088523378303456,1,1,1,1,0,1,0,1,0
17528,81000.0,1.0,50.0,4.024723300273106,1,1,0,0,0,1,1,1,3
17551,180000.0,2.0,44.0,0.355927910908506,1,1,1,1,0,1,0,1,1
17611,225000.0,2.0,34.0,1.1088523378303456,1,1,1,0,0,0,1,1,0
17646,99000.0,2.0,28.0,1.856300950738208,1,1,0,0,0,0,1,1,1
17663,99000.0,2.0,28.0,1.856300950738208,1,0,0,0,0,0,1,1,1
17747,360000.0,1.0,29.0,1.5222762958856102,1,0,1,1,0,1,1,3,3
17786,360000.0,1.0,29.0,1.5222762958856102,1,1,1,1,0,1,1,3,3
17951,225000.0,2.0,40.0,3.35667399056791,1,0,1,1,0,0,0,0,0
17983,225000.0,2.0,40.0,3.35667399056791,1,1,1,1,0,0,0,0,0
18181,427500.0,4.0,42.0,17.522604844726448,1,1,1,1,0,0,1,1,1
18220,427500.0,4.0,42.0,17.522604844726448,1,0,1,1,0,0,1,1,1
18297,157500.0,4.0,43.0,3.5236863179942093,1,1,0,0,1,0,3,1,1
18305,157500.0,4.0,43.0,3.5236863179942093,1,0,0,0,1,0,3,1,1
18311,144000.0,4.0,27.0,5.024059357823911,1,0,0,0,1,1,0,2,1
18315,157500.0,2.0,60.0,0.0,0,0,0,0,1,1,2,1,0
18325,157500.0,2.0,60.0,0.0,0,1,0,0,1,1,2,1,0
18428,270000.0,1.0,37.0,3.2717988733512664,1,1,1,1,1,1,0,1,2
18459,157500.0,3.0,33.0,6.436819373429981,1,0,0,1,0,0,0,1,1
768644,180000.0,2.0,61.0,0.0,0,0,0,0,0,1,2,1,1
18477,90000.0,4.0,31.0,1.1088523378303456,1,0,0,1,1,0,3,1,1
18484,90000.0,4.0,31.0,1.1088523378303456,1,1,0,1,1,0,3,1,1
18498,202500.0,2.0,53.0,10.023477552584929,1,1,1,1,0,1,0,1,1
18643,202500.0,2.0,53.0,10.023477552584929,1,0,1,1,0,1,0,1,1
18783,99000.0,4.0,35.0,1.1855137340260238,1,1,0,0,1,0,1,1,1
18844,99000.0,4.0,35.0,1.1855137340260238,1,0,0,0,1,0,1,1,1
18913,360000.0,2.0,55.0,20.43847580716921,1,0,1,1,1,0,0,1,1
18926,360000.0,2.0,55.0,20.43847580716921,1,1,1,1,1,0,0,1,1
19112,157500.0,4.0,30.0,6.436819373429981,1,0,0,0,1,1,0,1,1
19228,135000.0,1.0,24.0,4.1095984174897495,1,0,0,0,1,2,0,1,2
19255,99000.0,4.0,35.0,0.0,0,0,0,1,0,1,2,1,1
19269,90000.0,4.0,35.0,12.186424088105849,1,1,0,1,1,1,3,1,1
19331,90000.0,4.0,35.0,12.186424088105849,1,0,0,1,1,1,3,1,1
19369,90000.0,2.0,64.0,0.0,0,1,1,0,1,1,2,1,0
19379,112500.0,2.0,45.0,21.02438790666475,1,1,1,1,1,1,0,1,1
19442,112500.0,2.0,45.0,21.02438790666475,1,0,1,1,1,1,0,1,1
19460,135000.0,3.0,46.0,8.857129167607821,1,1,0,1,1,1,0,1,1
19478,135000.0,3.0,46.0,8.857129167607821,1,0,0,1,1,1,0,1,1
19520,180000.0,2.0,57.0,10.60391383806649,1,0,0,1,1,1,3,1,1
19533,180000.0,2.0,57.0,10.60391383806649,1,1,0,1,1,1,3,1,1
19796,495000.0,1.0,63.0,0.0,0,1,1,1,1,0,2,1,2
19822,495000.0,1.0,63.0,0.0,0,0,1,1,1,0,2,1,2
19874,157500.0,4.0,41.0,6.521694490646625,1,1,1,1,0,1,0,5,1
19919,135000.0,2.0,47.0,10.10835266980157,1,1,0,0,1,2,0,1,1
19972,360000.0,3.0,39.0,1.689288623311909,1,0,1,1,1,1,1,1,1
19979,360000.0,3.0,39.0,1.689288623311909,1,1,1,1,1,1,1,1,1
20091,157500.0,3.0,34.0,7.690780782630718,1,1,0,1,0,1,0,1,1
20193,157500.0,4.0,34.0,5.604495643305475,1,1,0,0,1,1,3,1,1
20274,157500.0,4.0,34.0,5.604495643305475,1,0,0,0,1,1,3,1,1
20292,157500.0,2.0,64.0,0.0,0,0,1,1,1,1,2,1,1
20321,112500.0,3.0,30.0,9.774328014948972,1,0,0,0,1,2,3,1,0
20331,112500.0,3.0,30.0,9.774328014948972,1,1,0,0,1,2,3,1,0
20392,112500.0,2.0,36.0,1.941176067954852,1,0,0,1,1,1,1,1,3
20429,112500.0,2.0,36.0,1.941176067954852,1,1,0,1,1,1,1,1,3
20467,99000.0,1.0,30.0,6.855719145499223,1,1,0,0,0,0,1,3,2
20586,135000.0,2.0,57.0,6.354682163220327,1,0,0,0,1,1,0,1,1
20605,135000.0,2.0,57.0,6.354682163220327,1,1,0,0,1,1,0,1,1
20687,85500.0,2.0,61.0,0.0,0,0,1,1,1,1,2,1,1
20703,292500.0,2.0,60.0,0.0,0,1,0,0,1,1,2,1,0
20731,292500.0,2.0,60.0,0.0,0,0,0,0,1,1,2,1,0
20772,67500.0,2.0,60.0,23.18733444218567,1,1,0,0,1,1,0,1,1
20903,67500.0,2.0,60.0,23.18733444218567,1,0,0,0,1,1,0,1,1
20912,90000.0,2.0,51.0,8.271217068112282,1,1,0,0,1,1,0,1,1
20952,90000.0,2.0,51.0,8.271217068112282,1,0,0,0,1,1,0,1,1
20985,112500.0,1.0,47.0,6.855719145499223,1,1,1,1,1,1,0,1,2
21046,112500.0,2.0,46.0,12.523186649965432,1,1,0,0,1,1,0,1,1
