,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,gender
89,N,Y,1,81000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Not identified,2,26,3,1,1,F
90,N,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,45,16,1,1,F
91,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Realty agents,2,47,3,1,0,F
92,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,1,40,2,1,0,F
93,N,N,1,202500,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,36,4,1,1,F
94,N,Y,3,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,5,41,2,1,0,F
95,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,52,19,1,1,F
96,N,Y,0,121500,Working,Incomplete higher,Civil marriage,Rented apartment,Sales staff,2,24,1,1,0,F
97,N,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,2,59,1,1,0,F
98,N,Y,1,117000,Working,Higher education,Married,House / apartment,Cleaning staff,3,52,1,1,0,F
99,N,Y,0,189000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,58,0,0,0,F
100,N,Y,1,112500,State servant,Incomplete higher,Civil marriage,House / apartment,Secretaries,3,30,9,1,1,F
101,N,Y,0,180000,Pensioner,Higher education,Widow,House / apartment,Not identified,1,62,0,0,1,F
102,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,57,0,0,1,F
103,N,N,0,112500,Working,Incomplete higher,Married,With parents,Sales staff,2,28,1,1,0,F
104,N,N,0,135000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,65,0,0,0,F
105,N,Y,2,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,4,30,1,1,0,F
106,N,N,0,27000,Working,Higher education,Civil marriage,House / apartment,Managers,2,41,13,1,1,F
107,Y,Y,2,283500,State servant,Higher education,Married,House / apartment,Core staff,4,36,11,1,1,F
108,Y,Y,0,180000,Commercial associate,Incomplete higher,Married,House / apartment,High skill tech staff,2,48,8,1,0,F
109,Y,Y,1,247500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,44,8,1,0,F
110,N,N,0,252000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,58,0,0,1,F
111,N,Y,2,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,4,42,8,1,1,F
112,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,45,2,1,1,F
113,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,56,4,1,1,F
114,N,Y,1,121500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,3,52,0,0,0,F
115,N,N,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1,53,32,1,1,F
116,N,N,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,0,F
117,N,Y,1,180000,Commercial associate,Incomplete higher,Married,House / apartment,High skill tech staff,3,34,3,1,0,F
118,Y,Y,1,76500,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,33,12,1,0,F
119,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Managers,4,34,4,1,1,F
120,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,49,0,0,1,F
121,Y,Y,0,216000,Working,Higher education,Married,House / apartment,Secretaries,2,51,4,1,1,F
122,N,Y,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,44,1,1,0,F
123,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Secretaries,1,63,11,1,0,F
124,N,Y,0,252000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,58,3,1,1,F
125,N,N,1,180000,State servant,Higher education,Married,House / apartment,Core staff,3,39,6,1,1,F
126,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Widow,House / apartment,Laborers,1,54,8,1,1,F
127,N,N,1,247500,Commercial associate,Incomplete higher,Married,House / apartment,Not identified,3,34,6,1,0,F
128,N,Y,1,121500,Working,Higher education,Married,House / apartment,Not identified,3,31,2,1,0,F
129,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,3,52,7,1,1,F
130,Y,Y,0,72000,Working,Secondary / secondary special,Married,With parents,Cooking staff,2,34,0,1,0,F
131,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,37,0,0,0,F
132,N,Y,1,405000,State servant,Higher education,Married,House / apartment,Core staff,3,35,12,1,1,F
133,N,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1,F
134,N,N,1,135000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,2,30,7,1,0,F
135,N,N,2,180000,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,4,38,8,1,0,F
136,N,Y,2,112500,Working,Higher education,Married,House / apartment,Sales staff,4,28,4,1,1,F
137,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,3,39,1,1,1,F
138,N,Y,1,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,High skill tech staff,3,31,1,1,1,F
139,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,29,0,1,1,F
140,Y,Y,1,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,Private service staff,3,35,2,1,1,F
141,N,N,0,180000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,57,5,1,0,F
142,N,N,2,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,4,44,21,1,0,F
143,N,N,0,117000,Commercial associate,Secondary / secondary special,Single / not married,With parents,Sales staff,1,28,1,1,0,F
144,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,45,4,1,0,F
145,Y,Y,0,135000,Working,Higher education,Civil marriage,House / apartment,Managers,2,55,12,1,1,F
146,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,25,1,1,0,F
147,Y,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,2,32,1,1,0,F
148,N,N,0,58500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1,F
149,Y,Y,0,234000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,52,6,1,1,F
150,Y,N,0,652500,Working,Higher education,Single / not married,House / apartment,Managers,1,53,0,1,1,F
151,N,N,0,292500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,52,29,1,0,F
152,N,Y,0,270000,Working,Higher education,Single / not married,House / apartment,Sales staff,1,29,2,1,1,F
153,Y,Y,0,202500,Working,Incomplete higher,Married,House / apartment,Accountants,2,51,14,1,0,F
154,N,Y,1,121500,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,3,37,3,1,0,F
155,N,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,40,4,1,1,F
156,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,44,8,1,1,F
157,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,0,F
158,N,N,0,117000,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,2,37,3,1,0,F
159,N,N,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,55,0,0,1,F
160,N,Y,0,103500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,51,1,1,0,F
161,N,N,2,225000,Working,Higher education,Married,House / apartment,Core staff,4,31,4,1,1,F
162,N,N,0,135000,State servant,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,57,3,1,1,F
163,N,Y,0,423000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,1,37,8,1,0,F
164,N,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Core staff,4,39,3,1,1,F
165,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,1,F
166,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,37,7,1,1,F
167,N,N,0,47250,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0,F
168,N,Y,0,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,61,0,0,1,F
169,N,Y,0,270000,Commercial associate,Secondary / secondary special,Widow,House / apartment,Core staff,1,37,0,1,0,F
170,N,N,0,90000,Commercial associate,Secondary / secondary special,Single / not married,With parents,Sales staff,1,22,2,1,1,F
171,N,Y,2,270000,State servant,Higher education,Separated,With parents,High skill tech staff,3,32,1,1,0,F
172,Y,N,0,292500,Working,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,42,2,1,1,F
173,Y,Y,0,29250,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,55,0,0,0,F
174,N,Y,0,283500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,1,F
175,N,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,2,27,1,1,1,F
176,N,Y,0,157500,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,52,25,1,0,F
177,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,39,8,1,0,F
178,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,53,8,1,1,F
179,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,Private service staff,2,59,9,1,1,F
180,Y,N,0,225000,Working,Higher education,Single / not married,House / apartment,Accountants,1,56,2,1,0,F
181,N,N,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,32,8,1,1,F
182,N,N,1,76500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,28,2,1,1,F
183,N,N,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1,F
184,N,Y,0,155250,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,54,6,1,0,F
185,N,N,1,180000,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,2,51,6,1,0,F
186,N,Y,0,49500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,67,0,0,0,F
187,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,51,25,1,1,F
188,N,N,0,202500,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,47,11,1,1,F
189,N,N,1,81000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,39,2,1,1,F
190,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Secretaries,1,30,3,1,1,F
191,N,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,2,31,5,1,1,F
192,N,N,0,135000,Commercial associate,Higher education,Married,House / apartment,HR staff,2,41,6,1,0,F
193,Y,N,1,360000,Working,Higher education,Widow,House / apartment,Managers,2,46,11,1,1,F
194,N,Y,0,112500,State servant,Secondary / secondary special,Widow,House / apartment,Medicine staff,1,55,1,1,1,F
195,N,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,52,13,1,0,F
196,N,Y,0,360000,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,53,5,1,1,F
197,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,12,1,1,F
198,N,Y,0,114750,Working,Secondary / secondary special,Widow,House / apartment,Security staff,1,56,11,1,0,F
199,Y,Y,1,405000,State servant,Secondary / secondary special,Married,House / apartment,Laborers,3,47,1,1,0,F
200,N,Y,1,112500,State servant,Secondary / secondary special,Married,House / apartment,Core staff,3,27,3,1,0,F
201,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,3,42,0,1,1,F
202,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,28,9,1,1,F
203,N,Y,0,153000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,61,0,0,0,F
204,N,Y,1,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,3,38,9,1,0,F
205,Y,Y,0,315000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,58,0,0,1,F
206,N,Y,0,387000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,55,13,1,0,F
207,N,Y,0,49500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,0,F
208,N,Y,1,76500,Working,Incomplete higher,Married,With parents,Sales staff,3,30,2,1,0,F
209,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,67,0,0,1,F
210,N,N,1,180000,State servant,Secondary / secondary special,Married,Municipal apartment,Laborers,3,46,0,1,0,F
211,N,Y,1,112500,Working,Higher education,Married,House / apartment,Core staff,3,25,4,1,1,F
212,N,N,0,202500,State servant,Higher education,Married,House / apartment,Laborers,2,48,3,1,1,F
213,Y,Y,1,315000,Working,Incomplete higher,Single / not married,House / apartment,Core staff,2,33,5,1,1,F
214,N,Y,0,103500,Pensioner,Incomplete higher,Married,House / apartment,Not identified,2,61,0,0,0,F
215,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,42,19,1,0,F
216,N,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,Not identified,4,41,0,1,1,F
217,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1,F
218,N,N,0,54000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,60,0,0,1,F
219,Y,Y,1,166500,Working,Higher education,Married,House / apartment,Core staff,3,33,1,1,0,F
220,N,Y,0,112500,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,64,0,0,0,F
221,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,29,10,1,0,F
222,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,52,0,1,1,F
223,N,Y,1,157500,Working,Secondary / secondary special,Separated,With parents,Not identified,2,31,3,1,1,F
224,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,13,1,1,F
225,N,Y,1,180000,Working,Incomplete higher,Married,Municipal apartment,Core staff,3,30,0,1,1,F
226,N,Y,2,270000,Commercial associate,Higher education,Married,House / apartment,Not identified,4,32,6,1,1,F
227,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,Office apartment,Not identified,2,56,0,0,1,F
228,Y,Y,0,180000,Working,Secondary / secondary special,Widow,House / apartment,Sales staff,1,43,11,1,0,F
229,Y,Y,0,162000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,50,7,1,1,F
230,N,N,0,90000,Working,Secondary / secondary special,Single / not married,With parents,Laborers,1,28,8,1,1,F
231,N,Y,0,72000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,1,F
232,N,Y,0,189000,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,40,0,1,0,F
233,N,Y,0,166500,Working,Higher education,Civil marriage,With parents,Core staff,2,31,1,1,1,F
234,N,N,0,157500,Working,Higher education,Married,House / apartment,Managers,2,32,0,1,1,F
235,N,N,0,112500,Working,Higher education,Married,House / apartment,Core staff,2,36,1,1,0,F
236,N,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,40,6,1,0,F
237,N,Y,0,135000,Working,Higher education,Single / not married,House / apartment,Managers,1,55,10,1,0,F
238,Y,N,1,225000,Working,Secondary / secondary special,Separated,House / apartment,Managers,2,42,10,1,0,F
239,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,51,5,1,0,F
240,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,28,6,1,0,F
241,N,Y,0,67500,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1,49,25,1,0,F
242,N,N,0,180000,Working,Secondary / secondary special,Single / not married,With parents,Sales staff,1,29,7,1,1,F
243,N,Y,0,178200,Commercial associate,Higher education,Separated,House / apartment,Not identified,1,37,4,1,1,F
244,N,Y,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,Not identified,2,66,0,0,1,F
245,N,Y,2,157500,Working,Higher education,Single / not married,House / apartment,Not identified,3,51,5,1,1,F
246,Y,Y,0,720000,Commercial associate,Higher education,Separated,House / apartment,Managers,1,57,13,1,1,F
247,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,66,5,1,1,F
248,Y,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,51,4,1,0,F
249,N,Y,1,193500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,47,2,1,1,F
250,N,Y,0,67500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,69,0,0,0,F
251,Y,Y,0,121500,Working,Higher education,Married,House / apartment,Sales staff,2,28,4,1,0,F
252,Y,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,1,F
253,N,Y,2,225000,Working,Higher education,Married,House / apartment,Accountants,4,35,4,1,1,F
254,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Laborers,1,50,8,1,0,F
255,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1,F
256,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,1,F
257,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,37,6,1,1,F
258,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,3,40,1,1,1,F
259,N,Y,1,90000,Working,Higher education,Married,House / apartment,High skill tech staff,3,32,9,1,0,F
260,N,Y,0,157500,Pensioner,Higher education,Married,House / apartment,Not identified,2,58,0,0,0,F
261,N,Y,0,153000,Working,Secondary / secondary special,Widow,House / apartment,Laborers,1,36,6,1,1,F
262,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,53,0,0,0,F
